tag,severity,finding,oob_value,real_2026_value,source
USA,BLOCKER,USS Anzio (CG-68) listed active,in service,decommissioned 22 Sep 2022,navy.mil / Wikipedia
USA,BLOCKER,USS Vella Gulf (CG-72) listed active,in service,decommissioned 4 Aug 2022,navy.mil
USA,BLOCKER,USS Lyndon B. Johnson (DDG-1002) listed active,in service,not commissioned (planned 2027),Wikipedia / navalnews.com
USA,BLOCKER,2nd Infantry Division (Korea) location,"Sindh, Pakistan (state 426)","Camp Humphreys, Gyeonggi, South Korea (604)",2id.korea.army.mil
SOV,BLOCKER,5 Far East formations location,"Yunnan, China (state 578)",Russian Far East: Primorye/Khabarovsk/Amur/Sakhalin,ww2.dk / Wikipedia
SOV,BLOCKER,Admiral Kharlamov (Udaloy) listed active,in service,decommissioned 1 Dec 2020,Wikipedia (Udaloy class)
SOV,BUG,Borei hull numbers/variants,K-552/K-553 labels,"K-553 = Generalissimus Suvorov, K-554 = Imperator Aleksandr III",Wikipedia (Borei class)
SOV,BUG,Duplicated divisions,"2nd Gds MRD + Tamanskaya, 4th Gds Tank + Kantemirovskaya, 3rd MRD x2, 144th MRD x2",4 duplicates inflate the 45-division total,Wikipedia
CHI,BLOCKER,76th Group Army brigades location,Hong Kong (FOREIGN),76th GA HQ Xining; HK is a separate garrison,"Wikipedia (PLAGF, HK Garrison)"
CHI,BUG,Airborne brigade numbers,43rd/44th/45th/46th,127th/128th/130th/131st/133rd/134th,Wikipedia (PLAAF Airborne Corps)
CHI,BUG,Ship name/hull mismatches,"Wuhu 539 (054B), Changzhou 156, Zibo 157, Nantong 133, Tangshan 164",Wuhu is 054A; 156=Zibo; 157=Lishui; 133=Baotou; 164=Guilin,navalnews.com / Wikipedia
ENG,BUG,HMS Lancaster (F229) listed active,in service,decommissioned 5 Dec 2025,royalnavy.mod.uk
ENG,BUG,HMS Northumberland (F238) listed active,in service,decommissioned (2024/25),forcesnews.com
ENG,BUG,HMS Albion + HMS Bulwark listed active,Amphibious Ready Group,both retired March 2025,forcesnews.com / naval-technology.com
ENG,BUG,7th Light Mech Brigade (Germany),brigade in Niedersachsen,BAOR-era artifact; 7th Bde is at Cottesmore,Wikipedia (British Army)
RAJ,BUG,~10 invented army formations,corps/division reserve units,do not exist,Bharat Rakshak / globalsecurity.org
RAJ,BUG,INS Chakra III (S72),in service,never delivered; India has no SSN,Wikipedia (Indian submarines)
RAJ,BUG,INS Triput (F51),in service,not yet commissioned,navalnews.com
SAU,BUG,Fleet homeports swapped,"Western Fleet at Jubail, Eastern at Jeddah","Western = Jeddah, Eastern = Jubail",Wikipedia (Royal Saudi Navy)
SAU,BUG,Badr-class ship 'Al Yamamah',corvette,"Badr class: Badr, Al Yarmook, Hitteen, Tabuk",Wikipedia
SAU,BUG,MQ-9A Reaper wing (12),in service,Saudi Arabia operates no MQ-9,breakingdefense.com
PAK,BUG,Type 054A/P names,"PNS Badr F-263, PNS Hunain F-264","Tippu Sultan F-263, Shah Jahan F-264",Wikipedia (Tughril class)
PAK,BUG,PNS Hangor (S-141) listed active,in service,commissioned 30 Apr 2026,Wikipedia / defensenews.com
PAK,BUG,2nd Armoured Division,exists,Pakistan has 1st and 6th armoured divisions,globalsecurity.org
UKR,BLOCKER,6 brigades in Crimea,Sevastopol/Simferopol/Kerch (SOV),front line in Donetsk/Zaporizhzhia; zero units there,mod state data + militaryland.net
FIN,BLOCKER,FNS Pohjanmaa + Häme,in service,class commissioned 2027,Wikipedia / janes.com
BRM,BUG,Air force inventory,"MiG-29B only, 36 aircraft","Su-30SME/JF-17/F-7M/A-5C/FTC-2000G/K-8, ~130",Irrawaddy / RFA
KAZ,BLOCKER,MiG-29 wing,28 in service,retired 2023 (scrapped),aerospaceglobalnews.com
KAZ,BLOCKER,MiG-31BS wing,14 in service,retired 2023 (auctioned),Wikipedia / kyivpost.com
HOL,BUG,'13e Luchtmobiele Brigade' + '1e Gemechaniseerde Brigade',2 brigades,11 LMB; 1e Gemechaniseerde does not exist,globalsecurity.org
HOL,BUG,HNLMS Walrus (S802),in service,retired 12 Oct 2023,marineschepen.nl
BUL,BUG,BGS Gordi/Reshitelni/Bodri identity,"F42/F43 Wielingen, Poti corvette",F42=Verni; Reshitelni=Pauk 13; Bodri=Pauk 14 at Varna,Wikipedia (Bulgarian Navy)
CRO,BUG,Omiš-class hulls OB-51/52/53,3 corvettes,only OOB-31 Omiš and OOB-32 Umag exist,Wikipedia (Croatian Navy)
MLV,BLOCKER,MiG-29 squadron (6),in service,Moldova has no combat aircraft (sold 1997),Wikipedia (Moldovan Air Force)
PER,BUG,1st Sarallah IRGC Division,Razavi Khorasan,Sarallah is the Tehran HQ; the 41st is in Kerman,Wikipedia (IRGC Ground Forces)
PER,BUG,IRGC Navy location,Lorestan (landlocked),Bandar Abbas / Gulf islands / Caspian,Wikipedia (IRGC Navy)
PER,BUG,IRIS Damavand (77),Caspian flagship,out of service since Jan 2018; Deylaman (78) is flagship,Wikipedia
TAI,BUG,Kinmen + Penghu Defense Commands,Tainan / Hualien,Kinmen / Penghu islands,Wikipedia (ROC Army)
